SampleID,Train_Group,train,Project,Domain,R01B_label,DANN_score
S1,1,training,KB8Y,1,Other,0.38820437
S2,1,training,KB8Y,1,Other,0.5697693
S3,1,validation,KBA6,1,Other,0.7018859
S4,1,validation,KBA5,1,Other,0.61719686
S5,1,validation,KBA5,1,Other,0.47687483
S6,1,training,KB8Y,1,Other,0.27282497
S7,1,validation,KB8Y,1,Other,0.3300991
S8,1,validation,KBA5,1,Other,0.76148087
S9,1,validation,KBA5,1,Other,0.31560913
S10,1,validation,KBA5,1,Other,0.350219
S11,1,validation,KBA5,1,Other,0.2231935
S12,1,validation,KBA5,1,Other,0.5582508
S13,1,training,R02N,1,Other,0.2960453
S14,1,training,KZ51,1,Other,0.7064482
S15,1,training,KZ51,1,Other,0.4143741
S16,1,training,KZ51,1,Other,0.33830416
S17,1,training,KZ63,1,Other,0.36921635
S18,1,training,KZ63,1,Other,0.26991254
S19,1,training,KZ63,1,Other,0.2884339
S20,1,training,KZ63,1,Other,0.41398925
S21,1,training,KZ44,1,Other,0.31167313
S22,1,training,KZ44,1,Other,0.3444794
S23,1,training,R00P,1,Other,0.7720284
S24,1,training,KZ44,1,Other,0.2977031
S25,1,training,KZ44,1,Other,0.31085643
S26,1,training,KZ44,1,Other,0.334006
S27,1,training,KZ58,1,Other,0.31682837
S28,1,training,KZ58,1,Other,0.2840281
S29,1,training,KZ58,1,Other,0.3332495
S30,1,training,KZ58,1,Other,0.3255888
S31,1,training,KZ58,1,Other,0.29616737
S32,1,training,KZ58,1,Other,0.4353117
S33,1,training,KZ58,1,Other,0.4498059
S34,1,validation,KZ58,1,Other,0.46215108
S35,1,validation,KZ61,1,Other,0.2651928
S36,1,validation,KZ61,1,Other,0.7601825
S37,1,training,KZ70,1,Other,0.53219295
S38,1,training,KZ70,1,Other,0.4819531
S39,1,training,KZ70,1,Other,0.4588471
S40,1,training,KZ70,1,Other,0.38728368
S41,1,training,KZ70,1,Other,0.2817182
S42,1,training,KZ70,1,Other,0.3603711
S43,1,training,JA2AY00D,1,Other,0.65163285
S44,1,validation,KZ61,1,Other,0.41956624
S45,1,training,JA2AY00D,1,Other,0.6404742
S46,1,training,JA2AY00D,1,Other,0.68935096
S47,1,validation,KZ61,1,Other,0.33951703
S48,1,validation,KZ61,1,Other,0.34872025
S49,1,training,JA2AY00D,1,Other,0.69081163
S50,1,testing,R01B,1,Other,0.47088242
S51,1,testing,R01B,1,Other,0.31319645
S52,1,testing,R01B,1,Other,0.32271978
S53,1,testing,R01B,1,Other,0.36327252
S54,1,testing,R01B,1,Other,0.48473424
S55,1,testing,R01B,1,Other,0.26507357
S56,1,training,KBK4,1,Other,0.4108696
S57,1,testing,R01B,1,Other,0.26197672
S58,1,testing,R01B,1,Other,0.15834047
S59,1,testing,R01B,1,Other,0.25177038
S60,0,validation,KAG9,0,Other,0.30110326
S61,0,validation,KAG9,0,Other,0.24115942
S62,1,testing,R01B,1,Other,0.30463576
S63,1,testing,R01B,1,Other,0.45818576
S64,1,testing,R01B,1,Other,0.34594908
S65,1,testing,R01B,1,Other,0.28947645
S66,1,testing,R01B,1,Other,0.33436996
S67,1,testing,R01B,1,Other,0.3261141
S68,1,testing,R01B,1,Other,0.23844062
S69,1,training,R02N,1,Other,0.47963336
S70,1,testing,R01B,1,Other,0.26759565
S71,1,testing,R01B,1,Other,0.261168
S72,1,testing,R01B,1,Other,0.2035609
S73,1,testing,R01B,1,Other,0.17065848
S74,1,testing,R01B,1,Other,0.37117878
S75,1,testing,R01B,1,Other,0.38550028
S76,1,testing,R01B,1,Other,0.27153412
S77,1,testing,R01B,1,Other,0.26567537
S78,1,testing,R01B,1,Other,0.22781442
S79,1,testing,R01B,1,Other,0.31650752
S80,1,testing,R01B,1,Other,0.22829862
S81,1,testing,R01B,1,Other,0.43012273
S82,1,testing,R01B,1,Other,0.24756745
S83,0,training,KAG9,0,Other,0.23093417
S84,0,training,KAG9,0,Other,0.22137558
S85,0,validation,KZ33,1,Other,0.20033549
